"module name","license","repository"
"@ampproject/remapping@2.2.0","Apache-2.0","https://github.com/ampproject/remapping"
"@ampproject/remapping@2.2.1","Apache-2.0","https://github.com/ampproject/remapping"
"@babel/code-frame@7.18.6","MIT","https://github.com/babel/babel"
"@babel/code-frame@7.21.4","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.20.10","MIT","https://github.com/babel/babel"
"@babel/compat-data@7.21.4","MIT","https://github.com/babel/babel"
"@babel/core@7.20.12","MIT","https://github.com/babel/babel"
"@babel/core@7.21.4","MIT","https://github.com/babel/babel"
"@babel/generator@7.20.7","MIT","https://github.com/babel/babel"
"@babel/generator@7.21.4","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.20.7","MIT","https://github.com/babel/babel"
"@babel/helper-compilation-targets@7.21.4","MIT","https://github.com/babel/babel"
"@babel/helper-environment-visitor@7.18.9","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.19.0","MIT","https://github.com/babel/babel"
"@babel/helper-function-name@7.21.0","MIT","https://github.com/babel/babel"
"@babel/helper-hoist-variables@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-module-imports@7.21.4","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.20.11","MIT","https://github.com/babel/babel"
"@babel/helper-module-transforms@7.21.2","MIT","https://github.com/babel/babel"
"@babel/helper-plugin-utils@7.20.2","MIT","https://github.com/babel/babel"
"@babel/helper-simple-access@7.20.2","MIT","https://github.com/babel/babel"
"@babel/helper-split-export-declaration@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-string-parser@7.19.4","MIT","https://github.com/babel/babel"
"@babel/helper-validator-identifier@7.19.1","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.18.6","MIT","https://github.com/babel/babel"
"@babel/helper-validator-option@7.21.0","MIT","https://github.com/babel/babel"
"@babel/helpers@7.20.7","MIT","https://github.com/babel/babel"
"@babel/helpers@7.21.0","MIT","https://github.com/babel/babel"
"@babel/highlight@7.18.6","MIT","https://github.com/babel/babel"
"@babel/parser@7.20.7","MIT","https://github.com/babel/babel"
"@babel/parser@7.21.4","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-async-generators@7.8.4","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"@babel/plugin-syntax-bigint@7.8.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-bigint"
"@babel/plugin-syntax-class-properties@7.12.13","MIT","https://github.com/babel/babel"
"@babel/plugin-syntax-import-meta@7.10.4","MIT","https://github.com/babel/babel"
